Model,Treatment,Tumor_id,Timepoint,Response
HGF-SCID,Vehicle,#46,-16,0.0
HGF-SCID,Vehicle,#46,-13,0.0
HGF-SCID,Vehicle,#46,-6,12.25
HGF-SCID,Vehicle,#46,-4,44.0
HGF-SCID,Vehicle,#46,-2,54.0
HGF-SCID,Vehicle,#46,1,54.0
HGF-SCID,Vehicle,#46,3,54.0
HGF-SCID,Vehicle,#46,5,65.0
HGF-SCID,Vehicle,#46,8,70.0
HGF-SCID,Vehicle,#46,10,70.0
HGF-SCID,Vehicle,#46,12,120.0
HGF-SCID,Vehicle,#46,15,144.0
HGF-SCID,Vehicle,#46,17,165.75
HGF-SCID,Vehicle,#46,19,216.125
HGF-SCID,Vehicle,#46,22,280.0
HGF-SCID,Vehicle,#46,24,308.0
HGF-SCID,Vehicle,#46,26,396.0
HGF-SCID,Vehicle,#46,29,500.0
HGF-SCID,Vehicle,#46,31,520.0
HGF-SCID,Vehicle,#46,33,552.5
HGF-SCID,Vehicle,#46,36,595.0
HGF-SCID,Vehicle,#46,38,767.25
HGF-SCID,Vehicle,#46,40,1008.0
HGF-SCID,Vehicle,#46,43,1606.5
HGF-SCID,Vehicle,#21,-27,0.0
HGF-SCID,Vehicle,#21,-25,0.0
HGF-SCID,Vehicle,#21,-23,0.0
HGF-SCID,Vehicle,#21,-20,0.0
HGF-SCID,Vehicle,#21,-18,0.0
HGF-SCID,Vehicle,#21,-16,0.0
HGF-SCID,Vehicle,#21,-13,0.0
HGF-SCID,Vehicle,#21,-6,18.375
HGF-SCID,Vehicle,#21,-4,24.0
HGF-SCID,Vehicle,#21,-2,24.0
HGF-SCID,Vehicle,#21,1,49.5
HGF-SCID,Vehicle,#21,3,68.75
HGF-SCID,Vehicle,#21,5,75.625
HGF-SCID,Vehicle,#21,8,96.25
HGF-SCID,Vehicle,#21,10,103.125
HGF-SCID,Vehicle,#21,12,110.0
HGF-SCID,Vehicle,#21,15,185.25
HGF-SCID,Vehicle,#21,17,216.125
HGF-SCID,Vehicle,#21,19,227.5
HGF-SCID,Vehicle,#21,22,238.875
HGF-SCID,Vehicle,#21,24,281.75
HGF-SCID,Vehicle,#21,26,322.0
HGF-SCID,Vehicle,#21,29,437.5
HGF-SCID,Vehicle,#21,31,525.0
HGF-SCID,Vehicle,#21,33,525.0
HGF-SCID,Vehicle,#21,36,728.0
HGF-SCID,Vehicle,#21,38,833.0
HGF-SCID,Vehicle,#21,40,892.5
HGF-SCID,Vehicle,#21,43,976.5
HGF-SCID,Vehicle,#26,-27,0.0
HGF-SCID,Vehicle,#26,-25,0.0
HGF-SCID,Vehicle,#26,-23,0.0
HGF-SCID,Vehicle,#26,-20,0.0
HGF-SCID,Vehicle,#26,-18,0.0
HGF-SCID,Vehicle,#26,-16,0.0
HGF-SCID,Vehicle,#26,-13,9.0
HGF-SCID,Vehicle,#26,-6,45.0
HGF-SCID,Vehicle,#26,-4,56.25
HGF-SCID,Vehicle,#26,-2,68.75
HGF-SCID,Vehicle,#26,1,89.375
HGF-SCID,Vehicle,#26,3,107.25
HGF-SCID,Vehicle,#26,5,117.0
HGF-SCID,Vehicle,#26,8,147.0
HGF-SCID,Vehicle,#26,10,147.0
HGF-SCID,Vehicle,#26,12,159.25
HGF-SCID,Vehicle,#26,15,196.0
HGF-SCID,Vehicle,#26,17,240.0
HGF-SCID,Vehicle,#26,19,318.75
HGF-SCID,Vehicle,#26,22,374.0
HGF-SCID,Vehicle,#26,24,433.5
HGF-SCID,Vehicle,#26,26,459.0
HGF-SCID,Vehicle,#26,29,665.0
HGF-SCID,Vehicle,#26,31,760.0
HGF-SCID,Vehicle,#26,33,836.0
HGF-SCID,Vehicle,#26,36,920.0
HGF-SCID,Vehicle,#26,38,1326.0
HGF-SCID,Vehicle,#26,40,1566.0
HGF-SCID,Vehicle,#26,43,1980.0
HGF-SCID,Actemra,#27,-27,0.0
HGF-SCID,Actemra,#27,-25,0.0
HGF-SCID,Actemra,#27,-23,0.0
HGF-SCID,Actemra,#27,-20,0.0
HGF-SCID,Actemra,#27,-18,0.0
HGF-SCID,Actemra,#27,-16,9.0
HGF-SCID,Actemra,#27,-13,15.75
HGF-SCID,Actemra,#27,-6,40.0
HGF-SCID,Actemra,#27,-4,45.0
HGF-SCID,Actemra,#27,-2,49.5
HGF-SCID,Actemra,#27,1,81.25
HGF-SCID,Actemra,#27,3,93.75
HGF-SCID,Actemra,#27,5,106.25
HGF-SCID,Actemra,#27,8,173.25
HGF-SCID,Actemra,#27,10,173.25
HGF-SCID,Actemra,#27,12,173.25
HGF-SCID,Actemra,#27,15,220.5
HGF-SCID,Actemra,#27,17,252.0
HGF-SCID,Actemra,#27,19,330.0
HGF-SCID,Actemra,#27,22,357.5
HGF-SCID,Actemra,#27,24,357.5
HGF-SCID,Actemra,#27,26,357.5
HGF-SCID,Actemra,#27,29,431.25
HGF-SCID,Actemra,#27,31,474.375
HGF-SCID,Actemra,#27,33,517.5
HGF-SCID,Actemra,#27,36,598.0
HGF-SCID,Actemra,#27,38,663.0
HGF-SCID,Actemra,#27,40,743.75
HGF-SCID,Actemra,#27,43,936.0
HGF-SCID,XL184,#24,-27,0.0
HGF-SCID,XL184,#24,-25,0.0
HGF-SCID,XL184,#24,-23,0.0
HGF-SCID,XL184,#24,-20,9.0
HGF-SCID,XL184,#24,-18,9.0
HGF-SCID,XL184,#24,-16,9.0
HGF-SCID,XL184,#24,-13,10.5
HGF-SCID,XL184,#24,-6,31.5
HGF-SCID,XL184,#24,-4,40.0
HGF-SCID,XL184,#24,-2,40.0
HGF-SCID,XL184,#24,1,44.0
HGF-SCID,XL184,#24,3,55.0
HGF-SCID,XL184,#24,5,60.0
HGF-SCID,XL184,#24,8,81.25
HGF-SCID,XL184,#24,10,81.25
HGF-SCID,XL184,#24,12,81.25
HGF-SCID,XL184,#24,15,89.375
HGF-SCID,XL184,#24,17,75.0
HGF-SCID,XL184,#24,19,75.0
HGF-SCID,XL184,#24,22,75.0
HGF-SCID,XL184,#24,24,54.0
HGF-SCID,XL184,#24,26,54.0
HGF-SCID,XL184,#24,29,58.5
HGF-SCID,XL184,#24,31,58.5
HGF-SCID,XL184,#24,33,33.0
HGF-SCID,XL184,#24,36,54.0
HGF-SCID,XL184,#24,38,37.125
HGF-SCID,XL184,#24,40,33.0
HGF-SCID,XL184,#24,43,54.0
HGF-SCID,Vehicle,#43,-27,0.0
HGF-SCID,Vehicle,#43,-25,0.0
HGF-SCID,Vehicle,#43,-23,0.0
HGF-SCID,Vehicle,#43,-20,0.0
HGF-SCID,Vehicle,#43,-18,0.0
HGF-SCID,Vehicle,#43,-16,0.0
HGF-SCID,Vehicle,#43,-13,15.75
HGF-SCID,Vehicle,#43,-6,24.0
HGF-SCID,Vehicle,#43,-4,40.5
HGF-SCID,Vehicle,#43,-2,40.5
HGF-SCID,Vehicle,#43,1,45.0
HGF-SCID,Vehicle,#43,3,45.0
HGF-SCID,Vehicle,#43,5,60.0
HGF-SCID,Vehicle,#43,8,117.0
HGF-SCID,Vehicle,#43,10,117.0
HGF-SCID,Vehicle,#43,12,136.5
HGF-SCID,Vehicle,#43,15,169.0
HGF-SCID,Vehicle,#43,17,210.0
HGF-SCID,Vehicle,#43,19,281.25
HGF-SCID,Vehicle,#43,22,330.0
HGF-SCID,Vehicle,#43,24,360.0
HGF-SCID,Vehicle,#43,26,432.0
HGF-SCID,Vehicle,#43,29,432.0
HGF-SCID,Vehicle,#43,31,630.0
HGF-SCID,Vehicle,#43,33,630.0
HGF-SCID,Vehicle,#43,36,731.5
HGF-SCID,Vehicle,#43,38,1100.0
HGF-SCID,Vehicle,#43,40,1188.0
HGF-SCID,Vehicle,#43,43,1435.5
C3H-SCID,XL184+Actemra,#3982523644,-29,0.0
C3H-SCID,XL184+Actemra,#3982523644,-27,0.0
C3H-SCID,XL184+Actemra,#3982523644,-25,0.0
C3H-SCID,XL184+Actemra,#3982523644,-22,9.0
C3H-SCID,XL184+Actemra,#3982523644,-20,9.0
C3H-SCID,XL184+Actemra,#3982523644,-18,10.5
C3H-SCID,XL184+Actemra,#3982523644,-15,10.5
C3H-SCID,XL184+Actemra,#3982523644,-8,10.5
C3H-SCID,XL184+Actemra,#3982523644,-6,30.0
C3H-SCID,XL184+Actemra,#3982523644,-4,30.0
C3H-SCID,XL184+Actemra,#3982523644,-1,49.5
C3H-SCID,XL184+Actemra,#3982523644,1,49.5
C3H-SCID,XL184+Actemra,#3982523644,3,49.5
C3H-SCID,XL184+Actemra,#3982523644,6,60.0
C3H-SCID,XL184+Actemra,#3982523644,8,60.0
C3H-SCID,XL184+Actemra,#3982523644,10,60.0
C3H-SCID,XL184+Actemra,#3982523644,13,60.0
C3H-SCID,XL184+Actemra,#3982523644,15,90.0
C3H-SCID,XL184+Actemra,#3982523644,17,96.25
C3H-SCID,XL184+Actemra,#3982523644,20,96.25
C3H-SCID,XL184+Actemra,#3982523644,22,112.5
C3H-SCID,XL184+Actemra,#3982523644,24,96.25
C3H-SCID,XL184+Actemra,#3982523644,27,96.25
C3H-SCID,XL184+Actemra,#3982523644,29,96.25
C3H-SCID,XL184+Actemra,#3982523644,31,103.125
C3H-SCID,XL184+Actemra,#3982523644,34,120.0
C3H-SCID,XL184+Actemra,#3982523644,36,103.125
C3H-SCID,XL184+Actemra,#3982523644,38,81.25
C3H-SCID,XL184+Actemra,#3982523644,41,89.375
C3H-SCID,XL184+Actemra,#2715588301,-29,0.0
C3H-SCID,XL184+Actemra,#2715588301,-27,0.0
C3H-SCID,XL184+Actemra,#2715588301,-25,0.0
C3H-SCID,XL184+Actemra,#2715588301,-22,0.0
C3H-SCID,XL184+Actemra,#2715588301,-20,0.0
C3H-SCID,XL184+Actemra,#2715588301,-18,0.0
C3H-SCID,XL184+Actemra,#2715588301,-15,9.0
C3H-SCID,XL184+Actemra,#2715588301,-8,10.5
C3H-SCID,XL184+Actemra,#2715588301,-6,21.0
C3H-SCID,XL184+Actemra,#2715588301,-4,32.0
C3H-SCID,XL184+Actemra,#2715588301,-1,36.0
C3H-SCID,XL184+Actemra,#2715588301,1,36.0
C3H-SCID,XL184+Actemra,#2715588301,3,36.0
C3H-SCID,XL184+Actemra,#2715588301,6,45.0
C3H-SCID,XL184+Actemra,#2715588301,8,50.0
C3H-SCID,XL184+Actemra,#2715588301,10,55.0
C3H-SCID,XL184+Actemra,#2715588301,13,60.0
C3H-SCID,XL184+Actemra,#2715588301,15,82.5
C3H-SCID,XL184+Actemra,#2715588301,17,107.25
C3H-SCID,XL184+Actemra,#2715588301,20,126.0
C3H-SCID,XL184+Actemra,#2715588301,22,156.0
C3H-SCID,XL184+Actemra,#2715588301,24,156.0
C3H-SCID,XL184+Actemra,#2715588301,27,193.375
C3H-SCID,XL184+Actemra,#2715588301,29,168.0
C3H-SCID,XL184+Actemra,#2715588301,31,168.0
C3H-SCID,XL184+Actemra,#2715588301,34,192.0
C3H-SCID,XL184+Actemra,#2715588301,36,157.5
C3H-SCID,XL184+Actemra,#2715588301,38,135.0
C3H-SCID,XL184+Actemra,#2715588301,41,135.0
HGF-SCID,XL184+Actemra,#29,-27,0.0
HGF-SCID,XL184+Actemra,#29,-25,0.0
HGF-SCID,XL184+Actemra,#29,-23,0.0
HGF-SCID,XL184+Actemra,#29,-20,0.0
HGF-SCID,XL184+Actemra,#29,-18,0.0
HGF-SCID,XL184+Actemra,#29,-16,0.0
HGF-SCID,XL184+Actemra,#29,-13,0.0
HGF-SCID,XL184+Actemra,#29,-6,10.5
HGF-SCID,XL184+Actemra,#29,-4,10.5
HGF-SCID,XL184+Actemra,#29,-2,27.0
HGF-SCID,XL184+Actemra,#29,1,49.5
HGF-SCID,XL184+Actemra,#29,3,60.0
HGF-SCID,XL184+Actemra,#29,5,60.0
HGF-SCID,XL184+Actemra,#29,8,81.25
HGF-SCID,XL184+Actemra,#29,10,97.5
HGF-SCID,XL184+Actemra,#29,12,115.5
HGF-SCID,XL184+Actemra,#29,15,135.0
HGF-SCID,XL184+Actemra,#29,17,115.5
HGF-SCID,XL184+Actemra,#29,19,115.5
HGF-SCID,XL184+Actemra,#29,22,115.5
HGF-SCID,XL184+Actemra,#29,24,81.25
HGF-SCID,XL184+Actemra,#29,26,75.0
HGF-SCID,XL184+Actemra,#29,29,89.375
HGF-SCID,XL184+Actemra,#29,31,55.0
HGF-SCID,XL184+Actemra,#29,33,45.0
HGF-SCID,XL184+Actemra,#29,36,68.75
HGF-SCID,XL184+Actemra,#29,38,68.75
HGF-SCID,XL184+Actemra,#29,40,68.75
HGF-SCID,XL184+Actemra,#29,43,75.0
HGF-SCID,XL184,#48,-27,0.0
HGF-SCID,XL184,#48,-25,0.0
HGF-SCID,XL184,#48,-23,0.0
HGF-SCID,XL184,#48,-20,9.0
HGF-SCID,XL184,#48,-18,9.0
HGF-SCID,XL184,#48,-16,9.0
HGF-SCID,XL184,#48,-13,18.375
HGF-SCID,XL184,#48,-6,24.5
HGF-SCID,XL184,#48,-4,45.0
HGF-SCID,XL184,#48,-2,56.25
HGF-SCID,XL184,#48,1,89.375
HGF-SCID,XL184,#48,3,89.375
HGF-SCID,XL184,#48,5,89.375
HGF-SCID,XL184,#48,8,126.0
HGF-SCID,XL184,#48,10,126.0
HGF-SCID,XL184,#48,12,126.0
HGF-SCID,XL184,#48,15,144.0
HGF-SCID,XL184,#48,17,123.75
HGF-SCID,XL184,#48,19,107.25
HGF-SCID,XL184,#48,22,107.25
HGF-SCID,XL184,#48,24,89.375
HGF-SCID,XL184,#48,26,89.375
HGF-SCID,XL184,#48,29,107.25
HGF-SCID,XL184,#48,31,107.25
HGF-SCID,XL184,#48,33,82.5
HGF-SCID,XL184,#48,36,107.25
HGF-SCID,XL184,#48,38,99.0
HGF-SCID,XL184,#48,40,99.0
HGF-SCID,XL184,#48,43,99.0
HGF-SCID,XL184+Actemra,#49,-27,0.0
HGF-SCID,XL184+Actemra,#49,-25,0.0
HGF-SCID,XL184+Actemra,#49,-23,0.0
HGF-SCID,XL184+Actemra,#49,-20,0.0
HGF-SCID,XL184+Actemra,#49,-18,9.0
HGF-SCID,XL184+Actemra,#49,-16,10.5
HGF-SCID,XL184+Actemra,#49,-13,18.375
HGF-SCID,XL184+Actemra,#49,-6,18.375
HGF-SCID,XL184+Actemra,#49,-4,36.0
HGF-SCID,XL184+Actemra,#49,-2,36.0
HGF-SCID,XL184+Actemra,#49,1,40.5
HGF-SCID,XL184+Actemra,#49,3,40.5
HGF-SCID,XL184+Actemra,#49,5,45.0
HGF-SCID,XL184+Actemra,#49,8,56.25
HGF-SCID,XL184+Actemra,#49,10,56.25
HGF-SCID,XL184+Actemra,#49,12,90.75
HGF-SCID,XL184+Actemra,#49,15,90.75
HGF-SCID,XL184+Actemra,#49,17,82.5
HGF-SCID,XL184+Actemra,#49,19,82.5
HGF-SCID,XL184+Actemra,#49,22,82.5
HGF-SCID,XL184+Actemra,#49,24,61.875
HGF-SCID,XL184+Actemra,#49,26,68.75
HGF-SCID,XL184+Actemra,#49,29,68.75
HGF-SCID,XL184+Actemra,#49,31,55.0
HGF-SCID,XL184+Actemra,#49,33,45.0
HGF-SCID,XL184+Actemra,#49,36,49.5
HGF-SCID,XL184+Actemra,#49,38,40.5
HGF-SCID,XL184+Actemra,#49,40,32.0
HGF-SCID,XL184+Actemra,#49,43,50.0
C3H-SCID,Actemra,#1997893141,-29,0.0
C3H-SCID,Actemra,#1997893141,-27,0.0
C3H-SCID,Actemra,#1997893141,-25,0.0
C3H-SCID,Actemra,#1997893141,-22,0.0
C3H-SCID,Actemra,#1997893141,-20,0.0
C3H-SCID,Actemra,#1997893141,-18,9.0
C3H-SCID,Actemra,#1997893141,-15,13.5
C3H-SCID,Actemra,#1997893141,-8,15.75
C3H-SCID,Actemra,#1997893141,-6,21.0
C3H-SCID,Actemra,#1997893141,-4,24.0
C3H-SCID,Actemra,#1997893141,-1,50.0
C3H-SCID,Actemra,#1997893141,1,50.0
C3H-SCID,Actemra,#1997893141,3,50.0
C3H-SCID,Actemra,#1997893141,6,50.0
C3H-SCID,Actemra,#1997893141,8,50.0
C3H-SCID,Actemra,#1997893141,10,60.5
C3H-SCID,Actemra,#1997893141,13,90.75
C3H-SCID,Actemra,#1997893141,15,99.0
C3H-SCID,Actemra,#1997893141,17,107.25
C3H-SCID,Actemra,#1997893141,20,115.5
C3H-SCID,Actemra,#1997893141,22,115.5
C3H-SCID,Actemra,#1997893141,24,134.75
C3H-SCID,Actemra,#1997893141,27,182.0
C3H-SCID,Actemra,#1997893141,29,208.0
C3H-SCID,Actemra,#1997893141,31,208.0
C3H-SCID,Actemra,#1997893141,34,208.0
C3H-SCID,Actemra,#1997893141,36,248.625
C3H-SCID,Actemra,#1997893141,38,286.875
C3H-SCID,Actemra,#1997893141,41,286.875
C3H-SCID,XL184,#2696170919,-29,0.0
C3H-SCID,XL184,#2696170919,-27,0.0
C3H-SCID,XL184,#2696170919,-25,0.0
C3H-SCID,XL184,#2696170919,-22,9.0
C3H-SCID,XL184,#2696170919,-20,9.0
C3H-SCID,XL184,#2696170919,-18,10.5
C3H-SCID,XL184,#2696170919,-15,10.5
C3H-SCID,XL184,#2696170919,-8,10.5
C3H-SCID,XL184,#2696170919,-6,10.5
C3H-SCID,XL184,#2696170919,-4,15.75
C3H-SCID,XL184,#2696170919,-1,21.0
C3H-SCID,XL184,#2696170919,1,32.0
C3H-SCID,XL184,#2696170919,3,32.0
C3H-SCID,XL184,#2696170919,6,32.0
C3H-SCID,XL184,#2696170919,8,45.0
C3H-SCID,XL184,#2696170919,10,61.875
C3H-SCID,XL184,#2696170919,13,61.875
C3H-SCID,XL184,#2696170919,15,61.875
C3H-SCID,XL184,#2696170919,17,61.875
C3H-SCID,XL184,#2696170919,20,61.875
C3H-SCID,XL184,#2696170919,22,75.0
C3H-SCID,XL184,#2696170919,24,68.75
C3H-SCID,XL184,#2696170919,27,68.75
C3H-SCID,XL184,#2696170919,29,45.0
C3H-SCID,XL184,#2696170919,31,45.0
C3H-SCID,XL184,#2696170919,34,61.875
C3H-SCID,XL184,#2696170919,36,61.875
C3H-SCID,XL184,#2696170919,38,56.25
C3H-SCID,XL184,#2696170919,41,68.75
C3H-SCID,Actemra,#42,-29,0.0
C3H-SCID,Actemra,#42,-27,0.0
C3H-SCID,Actemra,#42,-25,0.0
C3H-SCID,Actemra,#42,-22,0.0
C3H-SCID,Actemra,#42,-20,9.0
C3H-SCID,Actemra,#42,-18,9.0
C3H-SCID,Actemra,#42,-15,18.375
C3H-SCID,Actemra,#42,-8,24.0
C3H-SCID,Actemra,#42,-6,45.0
C3H-SCID,Actemra,#42,-4,45.0
C3H-SCID,Actemra,#42,-1,55.0
C3H-SCID,Actemra,#42,1,60.0
C3H-SCID,Actemra,#42,3,60.0
C3H-SCID,Actemra,#42,6,82.5
C3H-SCID,Actemra,#42,8,82.5
C3H-SCID,Actemra,#42,10,103.125
C3H-SCID,Actemra,#42,13,127.5
C3H-SCID,Actemra,#42,15,162.0
C3H-SCID,Actemra,#42,17,162.0
C3H-SCID,Actemra,#42,20,171.0
C3H-SCID,Actemra,#42,22,185.25
C3H-SCID,Actemra,#42,24,185.25
C3H-SCID,Actemra,#42,27,288.75
C3H-SCID,Actemra,#42,29,384.0
C3H-SCID,Actemra,#42,31,459.0
C3H-SCID,Actemra,#42,34,679.25
C3H-SCID,Actemra,#42,36,715.0
C3H-SCID,Actemra,#42,38,850.5
C3H-SCID,Actemra,#42,41,1232.0
C3H-SCID,Vehicle,#4338532369,-29,0.0
C3H-SCID,Vehicle,#4338532369,-27,0.0
C3H-SCID,Vehicle,#4338532369,-25,0.0
C3H-SCID,Vehicle,#4338532369,-22,0.0
C3H-SCID,Vehicle,#4338532369,-20,0.0
C3H-SCID,Vehicle,#4338532369,-18,0.0
C3H-SCID,Vehicle,#4338532369,-15,0.0
C3H-SCID,Vehicle,#4338532369,-8,0.0
C3H-SCID,Vehicle,#4338532369,-6,0.0
C3H-SCID,Vehicle,#4338532369,-4,0.0
C3H-SCID,Vehicle,#4338532369,-1,0.0
C3H-SCID,Vehicle,#4338532369,1,9.0
C3H-SCID,Vehicle,#4338532369,3,24.0
C3H-SCID,Vehicle,#4338532369,6,40.0
C3H-SCID,Vehicle,#4338532369,8,40.0
C3H-SCID,Vehicle,#4338532369,10,50.0
C3H-SCID,Vehicle,#4338532369,13,60.0
C3H-SCID,Vehicle,#4338532369,15,60.0
C3H-SCID,Vehicle,#4338532369,17,65.0
C3H-SCID,Vehicle,#4338532369,20,70.0
C3H-SCID,Vehicle,#4338532369,22,77.0
C3H-SCID,Vehicle,#4338532369,24,112.5
C3H-SCID,Vehicle,#4338532369,27,138.125
C3H-SCID,Vehicle,#4338532369,29,146.25
C3H-SCID,Vehicle,#4338532369,31,185.25
C3H-SCID,Vehicle,#4338532369,34,216.125
C3H-SCID,Vehicle,#4338532369,36,294.0
C3H-SCID,Vehicle,#4338532369,38,294.0
C3H-SCID,Vehicle,#4338532369,41,294.0
C3H-SCID,Vehicle,#4610567354,-29,0.0
C3H-SCID,Vehicle,#4610567354,-27,0.0
C3H-SCID,Vehicle,#4610567354,-25,0.0
C3H-SCID,Vehicle,#4610567354,-22,0.0
C3H-SCID,Vehicle,#4610567354,-20,0.0
C3H-SCID,Vehicle,#4610567354,-18,0.0
C3H-SCID,Vehicle,#4610567354,-15,0.0
C3H-SCID,Vehicle,#4610567354,-8,9.0
C3H-SCID,Vehicle,#4610567354,-6,18.375
C3H-SCID,Vehicle,#4610567354,-4,18.375
C3H-SCID,Vehicle,#4610567354,-1,18.375
C3H-SCID,Vehicle,#4610567354,1,18.375
C3H-SCID,Vehicle,#4610567354,3,21.0
C3H-SCID,Vehicle,#4610567354,6,36.0
C3H-SCID,Vehicle,#4610567354,8,40.5
C3H-SCID,Vehicle,#4610567354,10,40.5
C3H-SCID,Vehicle,#4610567354,13,61.875
C3H-SCID,Vehicle,#4610567354,15,68.75
C3H-SCID,Vehicle,#4610567354,17,90.0
C3H-SCID,Vehicle,#4610567354,20,90.0
C3H-SCID,Vehicle,#4610567354,22,99.0
C3H-SCID,Vehicle,#4610567354,24,107.25
C3H-SCID,Vehicle,#4610567354,27,136.5
C3H-SCID,Vehicle,#4610567354,29,159.25
C3H-SCID,Vehicle,#4610567354,31,183.75
C3H-SCID,Vehicle,#4610567354,34,267.75
C3H-SCID,Vehicle,#4610567354,36,393.75
C3H-SCID,Vehicle,#4610567354,38,420.0
C3H-SCID,Vehicle,#4610567354,41,420.0
C3H-SCID,XL184+Actemra,#2453632974,-29,0.0
C3H-SCID,XL184+Actemra,#2453632974,-27,0.0
C3H-SCID,XL184+Actemra,#2453632974,-25,0.0
C3H-SCID,XL184+Actemra,#2453632974,-22,0.0
C3H-SCID,XL184+Actemra,#2453632974,-20,0.0
C3H-SCID,XL184+Actemra,#2453632974,-18,0.0
C3H-SCID,XL184+Actemra,#2453632974,-15,21.0
C3H-SCID,XL184+Actemra,#2453632974,-8,27.0
C3H-SCID,XL184+Actemra,#2453632974,-6,36.0
C3H-SCID,XL184+Actemra,#2453632974,-4,40.5
C3H-SCID,XL184+Actemra,#2453632974,-1,56.25
C3H-SCID,XL184+Actemra,#2453632974,1,62.5
C3H-SCID,XL184+Actemra,#2453632974,3,62.5
C3H-SCID,XL184+Actemra,#2453632974,6,82.5
C3H-SCID,XL184+Actemra,#2453632974,8,99.0
C3H-SCID,XL184+Actemra,#2453632974,10,117.0
C3H-SCID,XL184+Actemra,#2453632974,13,126.0
C3H-SCID,XL184+Actemra,#2453632974,15,162.0
C3H-SCID,XL184+Actemra,#2453632974,17,231.0
C3H-SCID,XL184+Actemra,#2453632974,20,269.5
C3H-SCID,XL184+Actemra,#2453632974,22,315.0
C3H-SCID,XL184+Actemra,#2453632974,24,261.625
C3H-SCID,XL184+Actemra,#2453632974,27,261.625
C3H-SCID,XL184+Actemra,#2453632974,29,NA
C3H-SCID,XL184+Actemra,#2453632974,31,NA
C3H-SCID,XL184+Actemra,#2453632974,34,NA
C3H-SCID,XL184+Actemra,#2453632974,36,NA
C3H-SCID,XL184+Actemra,#2453632974,38,NA
C3H-SCID,XL184+Actemra,#2453632974,41,NA
C3H-SCID,XL184+Actemra,#4970837605,-29,0.0
C3H-SCID,XL184+Actemra,#4970837605,-27,0.0
C3H-SCID,XL184+Actemra,#4970837605,-25,0.0
C3H-SCID,XL184+Actemra,#4970837605,-22,0.0
C3H-SCID,XL184+Actemra,#4970837605,-20,0.0
C3H-SCID,XL184+Actemra,#4970837605,-18,0.0
C3H-SCID,XL184+Actemra,#4970837605,-15,0.0
C3H-SCID,XL184+Actemra,#4970837605,-8,0.0
C3H-SCID,XL184+Actemra,#4970837605,-6,10.5
C3H-SCID,XL184+Actemra,#4970837605,-4,10.5
C3H-SCID,XL184+Actemra,#4970837605,-1,27.0
C3H-SCID,XL184+Actemra,#4970837605,1,27.0
C3H-SCID,XL184+Actemra,#4970837605,3,27.0
C3H-SCID,XL184+Actemra,#4970837605,6,49.5
C3H-SCID,XL184+Actemra,#4970837605,8,49.5
C3H-SCID,XL184+Actemra,#4970837605,10,49.5
C3H-SCID,XL184+Actemra,#4970837605,13,55.0
C3H-SCID,XL184+Actemra,#4970837605,15,55.0
C3H-SCID,XL184+Actemra,#4970837605,17,55.0
C3H-SCID,XL184+Actemra,#4970837605,20,55.0
C3H-SCID,XL184+Actemra,#4970837605,22,68.75
C3H-SCID,XL184+Actemra,#4970837605,24,55.0
C3H-SCID,XL184+Actemra,#4970837605,27,55.0
C3H-SCID,XL184+Actemra,#4970837605,29,55.0
C3H-SCID,XL184+Actemra,#4970837605,31,55.0
C3H-SCID,XL184+Actemra,#4970837605,34,82.5
C3H-SCID,XL184+Actemra,#4970837605,36,55.0
C3H-SCID,XL184+Actemra,#4970837605,38,55.0
C3H-SCID,XL184+Actemra,#4970837605,41,75.0
C3H-SCID,Vehicle,#2914656115,-29,0.0
C3H-SCID,Vehicle,#2914656115,-27,0.0
C3H-SCID,Vehicle,#2914656115,-25,0.0
C3H-SCID,Vehicle,#2914656115,-22,0.0
C3H-SCID,Vehicle,#2914656115,-20,9.0
C3H-SCID,Vehicle,#2914656115,-18,15.75
C3H-SCID,Vehicle,#2914656115,-15,18.375
C3H-SCID,Vehicle,#2914656115,-8,24.0
C3H-SCID,Vehicle,#2914656115,-6,40.5
C3H-SCID,Vehicle,#2914656115,-4,40.5
C3H-SCID,Vehicle,#2914656115,-1,40.5
C3H-SCID,Vehicle,#2914656115,1,61.875
C3H-SCID,Vehicle,#2914656115,3,75.0
C3H-SCID,Vehicle,#2914656115,6,75.0
C3H-SCID,Vehicle,#2914656115,8,75.0
C3H-SCID,Vehicle,#2914656115,10,90.0
C3H-SCID,Vehicle,#2914656115,13,97.5
C3H-SCID,Vehicle,#2914656115,15,107.25
C3H-SCID,Vehicle,#2914656115,17,117.0
C3H-SCID,Vehicle,#2914656115,20,117.0
C3H-SCID,Vehicle,#2914656115,22,170.625
C3H-SCID,Vehicle,#2914656115,24,219.375
C3H-SCID,Vehicle,#2914656115,27,380.0
C3H-SCID,Vehicle,#2914656115,29,418.0
C3H-SCID,Vehicle,#2914656115,31,540.0
C3H-SCID,Vehicle,#2914656115,34,764.75
C3H-SCID,Vehicle,#2914656115,36,798.0
C3H-SCID,Vehicle,#2914656115,38,1345.5
C3H-SCID,Vehicle,#2914656115,41,1397.25
C3H-SCID,Vehicle,#1794003823,-29,0.0
C3H-SCID,Vehicle,#1794003823,-27,0.0
C3H-SCID,Vehicle,#1794003823,-25,0.0
C3H-SCID,Vehicle,#1794003823,-22,0.0
C3H-SCID,Vehicle,#1794003823,-20,9.0
C3H-SCID,Vehicle,#1794003823,-18,10.5
